iter	MultiClass
881	0.008600843368
882	0.008592421264
883	0.008579908276
884	0.008562884803
885	0.008550669675
886	0.008531585662
887	0.008525518114
888	0.008511298671
889	0.008498822926
890	0.008490011359
891	0.008473791316
892	0.008458074401
893	0.008451791047
894	0.008434188866
895	0.008426839961
896	0.008415215509
897	0.008406305822
898	0.008398474996
899	0.008387249256
900	0.008376690878
901	0.008361416948
902	0.008354265525
903	0.008341427402
904	0.008329712092
905	0.008319264374
906	0.00831208728
907	0.008298036112
908	0.008286780688
909	0.00827710261
910	0.008266187576
911	0.008255981066
912	0.008242934796
913	0.008236159764
914	0.008225784226
915	0.008213594731
916	0.008200137684
917	0.008188901564
918	0.008173340736
919	0.008162878152
920	0.008155220204
921	0.008142824807
922	0.008132664924
923	0.008122150864
924	0.008112682233
925	0.008102173959
926	0.00808958713
927	0.008081459915
928	0.008071708798
929	0.008056395883
930	0.008045301586
931	0.008032643956
932	0.008020624359
933	0.00800800455
934	0.007999718107
935	0.00799120416
936	0.007982981432
937	0.007976050826
938	0.00796773656
939	0.007952754123
940	0.007940767244
941	0.007930256757
942	0.007915393968
943	0.007906195283
944	0.007893589935
945	0.007880979049
946	0.007868097001
947	0.007856925263
948	0.007848598526
949	0.007833482592
950	0.007820946164
951	0.007809219835
952	0.007800134115
953	0.007784981485
954	0.007772257563
955	0.007767319056
956	0.007758183715
957	0.007745812562
958	0.007737970728
959	0.007723646985
960	0.007714136859
961	0.007702128134
962	0.007694655277
963	0.007686153263
964	0.00767839653
965	0.00767136746
966	0.0076622592
967	0.007646425324
968	0.007632419926
969	0.007622670397
970	0.007617255431
971	0.007603563732
972	0.00759389177
973	0.007585048354
974	0.007574648502
975	0.007564867044
976	0.007554657004
977	0.007547322799
978	0.007535835318
979	0.007519826461
980	0.007505001975
981	0.007497448694
982	0.007484797212
983	0.007475246965
984	0.007466031826
985	0.007453681246
986	0.007442778481
987	0.007434288967
988	0.007429088277
989	0.007419817184
990	0.007401367369
991	0.007386710617
992	0.007378352326
993	0.007368296375
994	0.007359997615
995	0.007353585342
996	0.007341772692
997	0.007333018773
998	0.007322974117
999	0.007313926963
